Iter,Bis,Newt
0,2433.375,2433.375
1,280.546875,714.0659640486903
2,11.443359375,204.7950319170732
3,-22.194580078125,54.39247088710387
4,-10.781707763671875,11.216685907775833
5,-1.2459526062011719,1.061587556396681
6,4.676352024078369,0.013330571977494543
7,1.6131314635276794,0.0
8,0.15851231664419174,0.0
9,-0.5499344291165471,0.0
10,-0.1972715015290305,0.0
11,-0.019770563041674905,0.0
12,0.06927302674193925,0.0
13,0.02472678276149054,0.0
